1.0.0 【2026/05/30 14:07:22】【INFO】 	拉取[test1_pathBox]天赋属性：{'props_name': 'group_props', 'description': '测试路径选择框', 'long_description': '测试路径选择框（test）', 'widget_variant': <PathBoxVariant.DIRECTORY: 2>, 'modified_callback_enabled': True, 'modified_callback': <function ModifiedFunction.property_modified.<locals>.build_pm at 0x000001FE36E21900>, 'filter_str': '*.*', 'default_path': '', 'widget_category': <WidgetCategory.PATHBOX: 'PathBox'>}
1.0.0 【2026/05/30 14:07:22】【INFO】 	test2_pathBox
1.0.0 【2026/05/30 14:07:22】【INFO】 	拉取[test2_pathBox]天赋属性：{'props_name': 'group_props', 'description': '测试路径选择框', 'long_description': '测试路径选择框（test）', 'widget_variant': <PathBoxVariant.FILE_SAVE: 1>, 'modified_callback_enabled': True, 'modified_callback': <function ModifiedFunction.property_modified.<locals>.build_pm at 0x000001FE36E21990>, 'filter_str': '*.*', 'default_path': '', 'widget_category': <WidgetCategory.PATHBOX: 'PathBox'>}
1.0.0 【2026/05/30 14:07:22】【INFO】 	test1_colorBox
1.0.0 【2026/05/30 14:07:22】【INFO】 	拉取[test1_colorBox]天赋属性：{'props_name': 'group_props', 'description': '测试颜色选择框', 'long_description': '测试颜色选择框（test）', 'widget_variant': <ColorBoxVariant.ALPHA: 'alpha'>, 'modified_callback_enabled': True, 'modified_callback': <function ModifiedFunction.property_modified.<locals>.build_pm at 0x000001FE36E21A20>, 'widget_category': <WidgetCategory.COLORBOX: 'ColorBox'>}
1.0.0 【2026/05/30 14:07:22】【INFO】 	test1_group
1.0.0 【2026/05/30 14:07:22】【INFO】 	拉取[test1_group]天赋属性：{'props_name': 'group_props', 'description': '测试分组框', 'long_description': '测试分组框（test）', 'widget_variant': <GroupVariant.CHECKABLE: 2>, 'modified_callback_enabled': True, 'modified_callback': <function build_controls.<locals>.group_folded_modified_callback at 0x000001FE36E21AB0>, 'group_props_name': 'group1_props', 'widget_category': <WidgetCategory.GROUP: 'Group'>}
1.0.0 【2026/05/30 14:07:22】【INFO】 	test2_digitalBox
1.0.0 【2026/05/30 14:07:22】【INFO】 	拉取[test2_digitalBox]天赋属性：{'props_name': 'group1_props', 'description': '测试数字框', 'long_description': '测试数字框（test）', 'widget_variant': <DigitalBoxVariant.FLOAT: 'Float'>, 'modified_callback_enabled': True, 'modified_callback': <function ModifiedFunction.property_modified.<locals>.build_pm at 0x000001FE36E21B40>, 'suffix': 'px', 'widget_category': <WidgetCategory.DIGITALBOX: 'DigitalBox'>}
1.0.0 【2026/05/30 14:07:22】【INFO】 	test3_digitalBox
1.0.0 【2026/05/30 14:07:22】【INFO】 	拉取[test3_digitalBox]天赋属性：{'props_name': 'group1_props', 'description': '测试数字框', 'long_description': '测试数字框（test）', 'widget_variant': <DigitalBoxVariant.FLOAT_SLIDER: 'FloatSlider'>, 'modified_callback_enabled': True, 'modified_callback': <function ModifiedFunction.property_modified.<locals>.build_pm at 0x000001FE36E21BD0>, 'suffix': 'px', 'widget_category': <WidgetCategory.DIGITALBOX: 'DigitalBox'>}
1.0.0 【2026/05/30 14:07:22】【INFO】 	test1_textBox
1.0.0 【2026/05/30 14:07:22】【INFO】 	拉取[test1_textBox]天赋属性：{'props_name': 'group1_props', 'description': '测试文本框', 'long_description': '测试文本框（test）', 'widget_variant': <TextBoxVariant.INFO: 3>, 'modified_callback_enabled': True, 'modified_callback': <function ModifiedFunction.property_modified.<locals>.build_pm at 0x000001FE36E21C60>, 'widget_category': <WidgetCategory.TEXTBOX: 'TextBox'>}
1.0.0 【2026/05/30 14:07:22】【INFO】 	test2_textBox
1.0.0 【2026/05/30 14:07:22】【INFO】 	拉取[test2_textBox]天赋属性：{'props_name': 'group1_props', 'description': '测试文本框', 'long_description': '测试文本框（test）', 'widget_variant': <TextBoxVariant.INFO: 3>, 'modified_callback_enabled': True, 'modified_callback': <function ModifiedFunction.property_modified.<locals>.build_pm at 0x000001FE36E21CF0>, 'widget_category': <WidgetCategory.TEXTBOX: 'TextBox'>}
1.0.0 【2026/05/30 14:07:22】【INFO】 	test3_textBox
1.0.0 【2026/05/30 14:07:22】【INFO】 	拉取[test3_textBox]天赋属性：{'props_name': 'group1_props', 'description': '测试文本框', 'long_description': '测试文本框（test）', 'widget_variant': <TextBoxVariant.INFO: 3>, 'modified_callback_enabled': True, 'modified_callback': <function ModifiedFunction.property_modified.<locals>.build_pm at 0x000001FE36E21D80>, 'widget_category': <WidgetCategory.TEXTBOX: 'TextBox'>}
1.0.0 【2026/05/30 14:07:22】【INFO】 	test3_button
1.0.0 【2026/05/30 14:07:22】【INFO】 	拉取[test3_button]天赋属性：{'props_name': 'props', 'description': '测试按钮', 'long_description': '测试按钮（test）', 'widget_variant': <ButtonVariant.URL: 1>, 'modified_callback_enabled': False, 'modified_callback': 'test', 'click_callback': <function ObsScriptButtonFunction.select.<locals>.build_bf at 0x000001FE36E21E10>, 'widget_category': <WidgetCategory.BUTTON: 'Button'>}
1.0.0 【2026/05/30 14:07:22】【INFO】 	test2_group
1.0.0 【2026/05/30 14:07:22】【INFO】 	拉取[test2_group]天赋属性：{'props_name': 'props', 'description': '测试分组框', 'long_description': '测试分组框（test）', 'widget_variant': <GroupVariant.NORMAL: 1>, 'modified_callback_enabled': True, 'modified_callback': <function ModifiedFunction.property_modified.<locals>.build_pm at 0x000001FE36E21EA0>, 'group_props_name': 'group2_props', 'widget_category': <WidgetCategory.GROUP: 'Group'>}
1.0.0 【2026/05/30 14:07:22】【INFO】 	拉取[e7a681e6ada2e689a7e8a18ce68ea7e4bbb6e4bfaee694b9e59b9ee8b083]天赋属性：底部按钮控件属性组
1.0.0 【2026/05/30 14:07:22】【INFO】 	拉取[test_checkBox]自由属性：{'visible': 'default_true', 'enabled': 'default_true', 'checked': 'checked_reference_data'}
1.0.0 【2026/05/30 14:07:22】【INFO】 	拉取[test_checkBox]自由属性：visible|属性值获取回调函数名：default_true
1.0.0 【2026/05/30 14:07:22】【INFO】 	拉取[test_checkBox]自由属性：enabled|属性值获取回调函数名：default_true
1.0.0 【2026/05/30 14:07:22】【INFO】 	拉取[test_checkBox]自由属性：checked|属性值获取回调函数名：checked_reference_data
1.0.0 【2026/05/30 14:07:22】【INFO】 	拉取[test_digitalBox]自由属性：{'visible': 'default_true', 'enabled': 'default_true', 'min_val': 'min_val_reference_data', 'max_val': 'max_val_reference_data', 'step': 'step_reference_data', 'digital': 'digital_reference_data'}
1.0.0 【2026/05/30 14:07:22】【INFO】 	拉取[test_digitalBox]自由属性：visible|属性值获取回调函数名：default_true
1.0.0 【2026/05/30 14:07:22】【INFO】 	拉取[test_digitalBox]自由属性：enabled|属性值获取回调函数名：default_true
